Sample Weight (mg):	3
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	88.300	80.002	20.009	100.517	20.081	2.359	-0.022
0.500	88.259	80.003	20.010	100.508	20.081	2.350	-0.030
1.000	88.273	80.002	20.010	100.501	20.081	2.401	-0.045
1.500	88.268	80.003	20.010	100.500	20.078	2.686	-0.009
2.000	88.204	80.002	20.010	100.506	20.076	2.952	-0.030
2.500	88.171	80.003	20.009	100.514	20.081	2.413	-0.083
3.000	88.139	80.002	20.010	100.524	20.079	2.610	-0.081
3.500	88.150	80.003	20.010	100.524	20.080	2.479	-0.043
4.000	88.107	80.003	20.010	100.511	20.080	2.507	-0.026
4.500	88.118	80.002	20.010	100.499	20.083	2.207	-0.032
5.000	88.086	80.003	20.010	100.492	20.081	2.385	-0.027
5.500	88.112	80.003	20.010	100.490	20.080	2.447	-0.014
6.000	88.072	80.003	20.010	100.497	20.083	2.167	-0.010
6.500	88.059	80.003	20.009	100.513	20.081	2.384	-0.034
7.000	88.065	80.003	20.009	100.526	20.083	2.194	-0.030
7.500	88.049	80.002	20.010	100.534	20.081	2.410	-0.009
8.000	88.028	80.004	20.009	100.532	20.081	2.366	-0.023
8.500	88.050	80.003	20.010	100.525	20.081	2.436	-0.018
9.000	88.046	80.002	20.010	100.514	20.082	2.264	0.010
9.500	88.029	80.004	20.010	100.506	20.083	2.213	-0.001
10.000	87.994	80.004	20.009	100.503	20.085	2.017	-0.036
10.500	88.047	80.002	20.010	100.508	20.082	2.269	-0.017
11.000	87.971	80.004	20.009	100.517	20.083	2.198	-0.003
11.500	87.986	80.002	20.010	100.523	20.082	2.293	-0.042
12.001	88.016	80.003	20.010	100.524	20.086	1.836	-0.008
12.501	88.015	80.004	20.010	100.518	20.084	2.054	0.037
13.000	87.990	80.003	20.010	100.508	20.085	2.004	0.002
13.500	88.012	80.004	20.010	100.504	20.083	2.232	-0.014
14.000	88.033	80.003	20.010	100.510	20.083	2.168	0.020
14.500	87.991	80.002	20.009	100.525	20.081	2.343	0.011
15.000	87.967	80.002	20.010	100.541	20.082	2.321	-0.044
15.500	88.021	80.003	20.009	100.552	20.084	2.100	-0.018
16.000	87.966	80.003	20.010	100.550	20.083	2.178	0.014
16.500	87.958	80.002	20.010	100.534	20.084	2.045	-0.032
17.000	87.950	80.004	20.010	100.517	20.084	2.067	-0.039
17.500	87.997	80.002	20.010	100.504	20.086	1.851	0.012
18.000	87.969	80.003	20.009	100.501	20.085	1.966	0.029
18.500	88.019	80.002	20.010	100.509	20.085	1.973	0.021
19.000	88.030	80.003	20.009	100.528	20.084	2.039	0.041
19.500	88.029	80.003	20.010	100.540	20.086	1.922	0.036
20.000	88.065	80.002	20.010	100.542	20.084	2.101	0.023
20.500	88.042	80.002	20.009	100.534	20.084	2.099	0.024
21.000	88.090	80.002	20.010	100.522	20.082	2.324	0.019
21.501	88.097	80.004	20.010	100.507	20.081	2.424	0.040
22.000	88.116	80.003	20.009	100.504	20.083	2.157	0.040
22.500	88.142	80.002	20.009	100.512	20.080	2.529	0.035
23.000	88.164	80.002	20.009	100.524	20.078	2.704	0.047
23.500	88.146	80.003	20.009	100.532	20.077	2.812	0.026
24.000	88.157	80.003	20.010	100.533	20.073	3.283	-0.001
24.500	88.144	80.003	20.011	100.526	20.075	3.013	-0.005
25.000	88.176	80.004	20.011	100.516	20.073	3.219	0.008
25.500	88.176	80.003	20.011	100.512	20.071	3.457	0.025
26.000	88.211	80.003	20.010	100.517	20.072	3.342	0.034
26.500	88.216	80.002	20.009	100.537	20.070	3.530	0.038
27.000	88.270	80.002	20.009	100.562	20.069	3.658	0.050
27.500	88.235	80.004	20.009	100.586	20.068	3.795	0.039
28.000	88.332	80.003	20.010	100.598	20.065	4.106	0.040
28.500	88.246	80.003	20.010	100.602	20.063	4.314	0.036
29.000	88.319	80.003	20.010	100.596	20.062	4.426	-0.001
29.500	88.329	80.002	20.009	100.591	20.059	4.718	0.035
30.000	88.400	80.004	20.010	100.593	20.059	4.657	0.082
30.501	88.413	80.003	20.010	100.605	20.061	4.449	0.083
31.000	88.485	80.003	20.010	100.621	20.059	4.696	0.085
31.500	88.464	80.004	20.010	100.636	20.057	4.924	0.068
32.000	88.508	80.004	20.010	100.640	20.056	5.019	0.036
32.501	88.531	80.005	20.009	100.637	20.058	4.836	0.045
33.001	88.496	80.003	20.011	100.629	20.056	5.053	0.028
33.500	88.633	80.003	20.010	100.626	20.052	5.425	0.045
34.000	88.688	80.004	20.010	100.631	20.053	5.363	0.147
34.500	88.670	80.003	20.010	100.645	20.054	5.218	0.115
35.000	88.724	80.004	20.010	100.663	20.050	5.613	0.037
35.500	88.785	80.004	20.009	100.679	20.049	5.717	0.075
36.000	88.817	80.004	20.011	100.683	20.049	5.788	0.104
36.500	88.848	80.003	20.011	100.679	20.045	6.149	0.078
37.000	88.839	80.004	20.010	100.675	20.045	6.148	0.042
37.500	88.950	80.004	20.010	100.673	20.046	6.099	0.062
38.000	88.987	80.004	20.010	100.678	20.044	6.305	0.125
38.500	89.007	80.003	20.009	100.692	20.044	6.296	0.102
39.000	89.060	80.002	20.010	100.701	20.043	6.388	0.065
39.500	89.218	80.004	20.009	100.702	20.041	6.609	0.142
40.000	89.239	80.003	20.010	100.693	20.041	6.554	0.195
40.500	89.346	80.002	20.010	100.682	20.041	6.544	0.154
41.000	89.323	80.004	20.010	100.672	20.040	6.684	0.106
41.500	89.415	80.002	20.009	100.677	20.041	6.578	0.076
42.000	89.450	80.004	20.010	100.689	20.039	6.804	0.098
42.500	89.526	80.003	20.010	100.701	20.039	6.841	0.119
43.001	89.611	80.003	20.011	100.708	20.038	6.938	0.136
43.501	89.701	80.004	20.010	100.710	20.037	7.011	0.169
44.001	89.681	80.002	20.011	100.704	20.037	6.978	0.123
44.500	89.776	80.004	20.011	100.701	20.035	7.238	0.072
45.000	89.838	80.003	20.010	100.705	20.038	6.944	0.116
45.500	89.935	80.003	20.009	100.713	20.039	6.783	0.158
46.000	89.971	80.002	20.010	100.718	20.042	6.530	0.146
46.501	90.093	80.003	20.009	100.719	20.041	6.616	0.145
47.001	90.193	80.003	20.011	100.709	20.040	6.675	0.190
47.501	90.265	80.003	20.010	100.690	20.041	6.640	0.197
48.001	90.379	80.003	20.010	100.674	20.041	6.614	0.179
48.500	90.470	80.003	20.010	100.665	20.040	6.657	0.195
49.000	90.527	80.001	20.010	100.669	20.042	6.479	0.177
49.500	90.666	80.003	20.009	100.685	20.041	6.636	0.172
50.000	90.734	80.002	20.009	100.709	20.040	6.693	0.202
50.500	90.795	80.003	20.009	100.725	20.040	6.688	0.168
51.000	90.893	80.002	20.011	100.730	20.038	6.886	0.144
51.501	90.989	80.001	20.010	100.725	20.037	6.981	0.177
52.001	91.072	80.004	20.009	100.721	20.039	6.806	0.187
52.500	91.187	80.002	20.010	100.715	20.039	6.802	0.188
53.000	91.286	80.002	20.009	100.716	20.036	7.089	0.206
53.501	91.404	80.002	20.009	100.730	20.036	7.088	0.216
54.001	91.436	80.003	20.009	100.745	20.035	7.230	0.183
54.500	91.595	80.002	20.009	100.751	20.035	7.224	0.170
55.000	91.682	80.003	20.010	100.752	20.036	7.147	0.218
55.501	91.826	80.002	20.010	100.746	20.036	7.138	0.239
56.001	91.939	80.002	20.010	100.732	20.036	7.094	0.244
56.500	92.040	80.002	20.010	100.729	20.035	7.206	0.235
57.000	92.151	80.004	20.009	100.731	20.034	7.290	0.213
57.500	92.279	80.001	20.009	100.744	20.031	7.668	0.226
58.000	92.381	80.002	20.010	100.757	20.031	7.610	0.234
58.500	92.473	80.003	20.010	100.765	20.030	7.732	0.212
59.000	92.570	80.002	20.010	100.761	20.030	7.726	0.192
59.500	92.686	80.002	20.009	100.751	20.031	7.625	0.201
60.000	92.798	80.003	20.010	100.742	20.030	7.737	0.220
60.500	92.947	80.001	20.010	100.742	20.029	7.890	0.245
61.000	93.093	80.003	20.010	100.754	20.031	7.662	0.278
61.500	93.244	80.001	20.009	100.773	20.030	7.725	0.296
62.000	93.368	80.002	20.010	100.785	20.028	7.982	0.286
62.500	93.515	80.003	20.010	100.789	20.028	7.952	0.273
63.000	93.631	80.003	20.011	100.781	20.029	7.889	0.267
63.500	93.761	80.001	20.010	100.762	20.027	8.013	0.254
64.000	93.908	80.002	20.010	100.746	20.028	8.005	0.262
64.500	94.054	80.001	20.009	100.742	20.030	7.766	0.285
65.000	94.231	80.003	20.010	100.745	20.028	8.000	0.308
65.500	94.363	80.003	20.010	100.754	20.025	8.313	0.316
66.001	94.490	80.003	20.010	100.764	20.026	8.184	0.284
66.501	94.634	80.003	20.010	100.762	20.026	8.210	0.265
67.001	94.752	80.002	20.010	100.754	20.025	8.242	0.267
67.501	94.927	80.002	20.010	100.743	20.026	8.183	0.278
68.001	95.056	80.003	20.011	100.743	20.026	8.138	0.298
68.500	95.230	80.003	20.010	100.745	20.022	8.556	0.303
69.000	95.396	80.001	20.010	100.753	20.024	8.405	0.322
69.500	95.545	80.002	20.010	100.761	20.023	8.439	0.328
70.000	95.671	80.002	20.010	100.764	20.024	8.361	0.295
70.501	95.811	80.001	20.009	100.756	20.026	8.206	0.270
71.001	96.011	80.004	20.010	100.748	20.025	8.222	0.303
71.500	96.122	80.002	20.009	100.748	20.024	8.388	0.325
72.000	96.318	80.003	20.009	100.757	20.022	8.555	0.309
72.500	96.476	80.000	20.009	100.770	20.025	8.309	0.331
73.000	96.610	80.002	20.009	100.785	20.022	8.610	0.323
73.500	96.782	80.002	20.009	100.793	20.024	8.414	0.300
74.000	96.903	80.002	20.009	100.791	20.022	8.553	0.300
74.500	97.125	80.002	20.009	100.782	20.023	8.478	0.318
75.000	97.304	80.002	20.009	100.774	20.023	8.435	0.372
75.500	97.497	80.002	20.009	100.767	20.022	8.613	0.386
76.001	97.598	80.002	20.009	100.773	20.022	8.627	0.333
76.501	97.808	80.002	20.009	100.782	20.022	8.534	0.303
77.001	97.979	80.002	20.009	100.787	20.020	8.748	0.346
77.501	98.161	80.003	20.009	100.786	20.023	8.443	0.367
78.001	98.319	80.002	20.009	100.779	20.022	8.629	0.346
78.500	98.516	80.003	20.010	100.764	20.021	8.638	0.347
79.001	98.717	80.003	20.010	100.753	20.023	8.513	0.376
79.501	98.921	80.002	20.009	100.751	20.024	8.390	0.402
80.000	99.078	80.003	20.009	100.760	20.023	8.442	0.383
80.500	99.263	80.002	20.009	100.775	20.022	8.605	0.352
81.001	99.453	80.003	20.009	100.784	20.022	8.565	0.359
81.501	99.568	80.001	20.010	100.786	20.023	8.502	0.340
82.001	99.763	80.002	20.009	100.779	20.021	8.662	0.308
82.501	99.971	80.003	20.009	100.764	20.022	8.583	0.356
83.000	100.187	80.003	20.009	100.755	20.019	8.876	0.414
83.500	100.366	80.001	20.010	100.753	20.019	8.905	0.410
84.000	100.548	80.004	20.009	100.755	20.022	8.586	0.378
84.500	100.752	80.002	20.009	100.762	20.020	8.762	0.373
85.000	100.950	80.002	20.009	100.770	20.022	8.573	0.394
85.501	101.130	80.003	20.009	100.767	20.021	8.721	0.391
86.001	101.321	80.002	20.010	100.760	20.019	8.903	0.375
86.501	101.485	80.004	20.009	100.754	20.018	8.951	0.363
87.000	101.732	80.004	20.009	100.752	20.017	9.067	0.383
87.500	101.893	80.002	20.009	100.756	20.016	9.219	0.410
88.001	102.105	80.004	20.009	100.767	20.018	8.988	0.391
88.501	102.321	80.003	20.009	100.780	20.020	8.750	0.401
89.000	102.477	80.002	20.009	100.785	20.021	8.701	0.400
89.500	102.710	80.004	20.010	100.780	20.020	8.769	0.380
90.000	102.944	80.003	20.009	100.770	20.020	8.770	0.428
90.501	103.130	80.003	20.009	100.758	20.020	8.767	0.443
91.001	103.341	80.003	20.010	100.755	20.020	8.759	0.408
91.500	103.554	80.001	20.009	100.762	20.018	9.002	0.411
92.001	103.723	80.002	20.009	100.776	20.019	8.892	0.403
92.501	103.947	80.003	20.009	100.787	20.020	8.746	0.387
93.000	104.153	80.003	20.009	100.790	20.021	8.648	0.411
93.500	104.369	80.004	20.009	100.787	20.022	8.623	0.426
94.000	104.614	80.002	20.009	100.779	20.022	8.570	0.442
94.501	104.793	80.003	20.010	100.773	20.019	8.848	0.443
95.001	105.051	80.002	20.009	100.776	20.020	8.810	0.431
95.501	105.295	80.003	20.010	100.784	20.019	8.921	0.469
96.000	105.450	80.003	20.009	100.794	20.018	8.987	0.450
96.500	105.706	80.002	20.009	100.797	20.019	8.902	0.405
97.000	105.920	80.004	20.009	100.796	20.019	8.886	0.440
97.500	106.149	80.002	20.009	100.783	20.020	8.835	0.457
98.000	106.369	80.003	20.010	100.771	20.018	9.017	0.446
98.500	106.569	80.001	20.009	100.768	20.017	9.144	0.435
99.000	106.800	80.004	20.009	100.776	20.017	9.058	0.425
99.500	107.038	80.001	20.009	100.791	20.019	8.875	0.450
100.001	107.268	80.001	20.009	100.805	20.018	9.020	0.468
100.501	107.530	80.003	20.009	100.814	20.016	9.201	0.480
101.001	107.719	80.003	20.009	100.809	20.019	8.921	0.472
101.500	107.952	80.003	20.009	100.800	20.017	9.114	0.437
102.000	108.140	80.002	20.009	100.790	20.016	9.186	0.421
102.501	108.373	80.002	20.009	100.789	20.017	9.127	0.421
103.001	108.617	80.003	20.009	100.800	20.016	9.221	0.449
103.500	108.869	80.003	20.009	100.814	20.014	9.421	0.486
104.000	109.130	80.002	20.008	100.821	20.017	9.152	0.504
104.501	109.304	80.003	20.009	100.815	20.017	9.151	0.474
105.001	109.604	80.003	20.010	100.799	20.013	9.481	0.455
105.500	109.860	80.002	20.009	100.778	20.016	9.231	0.515
106.000	110.117	80.003	20.009	100.764	20.016	9.183	0.535
106.501	110.366	80.002	20.009	100.758	20.018	8.993	0.510
107.001	110.604	80.003	20.009	100.767	20.018	9.055	0.497
107.500	110.868	80.004	20.010	100.782	20.014	9.465	0.494
108.000	111.088	80.001	20.009	100.795	20.016	9.256	0.493
108.500	111.354	80.003	20.010	100.799	20.018	9.022	0.485
109.001	111.599	80.003	20.010	100.796	20.018	9.048	0.498
109.501	111.811	80.002	20.009	100.789	20.020	8.777	0.484
110.001	112.088	80.004	20.009	100.781	20.018	8.997	0.473
110.501	112.334	80.003	20.009	100.780	20.019	8.930	0.506
111.001	112.622	80.003	20.009	100.786	20.016	9.177	0.529
111.501	112.806	80.003	20.009	100.795	20.017	9.155	0.503
112.000	113.041	80.002	20.010	100.801	20.016	9.165	0.446
112.500	113.327	80.003	20.009	100.805	20.016	9.201	0.470
113.000	113.593	80.003	20.009	100.798	20.017	9.109	0.536
113.500	113.788	80.001	20.010	100.788	20.017	9.107	0.506
114.000	114.104	80.003	20.010	100.779	20.016	9.221	0.486
114.500	114.324	80.003	20.009	100.782	20.014	9.374	0.524
115.001	114.578	80.001	20.010	100.789	20.016	9.202	0.506
115.501	114.880	80.003	20.009	100.801	20.014	9.396	0.515
116.001	115.126	80.002	20.010	100.812	20.015	9.293	0.552
116.501	115.362	80.002	20.010	100.815	20.017	9.066	0.515
117.001	115.663	80.004	20.010	100.809	20.017	9.064	0.510
117.501	115.900	80.003	20.010	100.803	20.017	9.124	0.537
118.001	116.183	80.003	20.010	100.798	20.019	8.923	0.529
118.501	116.429	80.001	20.010	100.796	20.019	8.948	0.525
119.000	116.687	80.002	20.010	100.803	20.020	8.826	0.517
119.500	116.928	80.002	20.010	100.814	20.016	9.207	0.501
120.001	117.243	80.002	20.010	100.818	20.018	9.039	0.527
120.501	117.480	80.003	20.011	100.813	20.018	9.003	0.554
121.000	117.766	80.002	20.011	100.805	20.018	9.003	0.537
121.501	118.048	80.002	20.010	100.795	20.018	8.971	0.545
122.001	118.263	80.002	20.010	100.783	20.019	8.934	0.533
122.501	118.581	80.002	20.009	100.780	20.019	8.871	0.515
123.000	118.856	80.002	20.010	100.788	20.018	8.958	0.563
123.500	119.107	80.003	20.009	100.803	20.021	8.709	0.559
124.000	119.378	80.002	20.010	100.813	20.016	9.219	0.524
124.500	119.650	80.003	20.010	100.812	20.021	8.735	0.532
125.000	119.909	80.002	20.010	100.804	20.019	8.907	0.537
125.500	120.233	80.002	20.010	100.792	20.018	8.965	0.557
126.000	120.486	80.002	20.010	100.778	20.018	8.986	0.580
126.500	120.791	80.002	20.010	100.776	20.018	9.051	0.568
127.000	120.990	80.003	20.010	100.783	20.016	9.169	0.531
127.500	121.274	80.002	20.010	100.791	20.017	9.115	0.493
128.000	121.564	80.002	20.010	100.795	20.014	9.405	0.528
128.500	121.814	80.002	20.010	100.791	20.017	9.081	0.557
129.000	122.116	80.002	20.010	100.776	20.016	9.229	0.546
129.500	122.429	80.003	20.011	100.768	20.019	8.935	0.583
130.000	122.672	80.002	20.009	100.761	20.017	9.139	0.585
130.500	122.926	80.003	20.009	100.764	20.013	9.573	0.527
131.000	123.251	80.002	20.009	100.774	20.013	9.481	0.539
131.500	123.516	80.001	20.009	100.784	20.013	9.482	0.585
132.000	123.777	80.003	20.009	100.782	20.016	9.259	0.558
132.500	124.083	80.003	20.009	100.775	20.015	9.259	0.547
133.000	124.385	80.002	20.009	100.761	20.015	9.309	0.587
133.500	124.656	80.002	20.009	100.753	20.015	9.346	0.590
134.000	124.922	80.002	20.009	100.752	20.016	9.234	0.555
134.500	125.181	80.003	20.009	100.762	20.013	9.470	0.531
135.000	125.508	80.001	20.008	100.776	20.018	9.048	0.556
135.500	125.816	80.003	20.009	100.791	20.011	9.719	0.611
136.000	126.055	80.003	20.009	100.790	20.015	9.362	0.591
136.500	126.318	80.002	20.009	100.781	20.017	9.126	0.525
137.000	126.617	80.003	20.010	100.766	20.015	9.280	0.532
137.500	126.946	80.001	20.009	100.752	20.016	9.169	0.595
138.000	127.202	80.002	20.008	100.744	20.015	9.304	0.607
138.500	127.498	80.003	20.009	100.748	20.015	9.325	0.569
139.000	127.742	80.002	20.009	100.757	20.015	9.266	0.546
139.500	128.021	80.003	20.010	100.764	20.019	8.844	0.531
140.000	128.289	80.002	20.009	100.771	20.015	9.359	0.535
140.500	128.577	80.003	20.009	100.771	20.015	9.276	0.552
141.001	128.906	80.002	20.010	100.763	20.017	9.138	0.587
141.500	129.204	80.002	20.010	100.756	20.017	9.141	0.622
142.000	129.444	80.001	20.010	100.755	20.016	9.227	0.582
142.500	129.761	80.004	20.010	100.755	20.016	9.254	0.548
143.000	130.060	80.003	20.009	100.758	20.016	9.173	0.587
143.500	130.356	80.002	20.010	100.766	20.018	9.011	0.606
144.000	130.582	80.003	20.010	100.770	20.017	9.058	0.558
144.500	130.916	80.004	20.010	100.758	20.017	9.097	0.541
145.000	131.228	80.003	20.011	100.741	20.016	9.209	0.603
145.500	131.535	80.003	20.011	100.722	20.017	9.104	0.633
146.000	131.804	80.004	20.010	100.709	20.016	9.176	0.597
146.501	132.032	80.001	20.010	100.704	20.015	9.292	0.536
147.000	132.369	80.003	20.010	100.716	20.017	9.062	0.531
147.500	132.664	80.003	20.010	100.729	20.017	9.059	0.599
148.000	132.926	80.003	20.010	100.738	20.018	8.991	0.594
148.500	133.265	80.001	20.010	100.740	20.015	9.303	0.579
149.000	133.579	80.003	20.010	100.733	20.013	9.541	0.627
149.500	133.817	80.002	20.010	100.719	20.010	9.821	0.602
150.000	134.108	80.002	20.010	100.707	20.016	9.188	0.541
150.500	134.412	80.002	20.010	100.704	20.015	9.307	0.562
151.000	134.673	80.004	20.010	100.707	20.016	9.197	0.580
151.500	134.933	80.001	20.010	100.715	20.012	9.604	0.543
152.000	135.238	80.004	20.009	100.725	20.016	9.246	0.543
152.500	135.547	80.001	20.010	100.731	20.016	9.253	0.589
153.000	135.803	80.001	20.010	100.727	20.013	9.561	0.590
153.500	136.112	80.002	20.010	100.716	20.013	9.487	0.565
154.000	136.409	80.003	20.010	100.700	20.013	9.539	0.585
154.500	136.699	80.003	20.011	100.688	20.013	9.518	0.596
155.000	137.006	80.001	20.010	100.686	20.016	9.165	0.592
155.500	137.295	80.003	20.010	100.692	20.014	9.396	0.597
156.001	137.554	80.001	20.009	100.702	20.018	9.033	0.572
156.500	137.858	80.002	20.010	100.717	20.014	9.432	0.556
157.000	138.124	80.002	20.010	100.722	20.016	9.251	0.567
157.500	138.385	80.002	20.010	100.718	20.013	9.478	0.548
158.000	138.705	80.002	20.011	100.705	20.012	9.649	0.554
158.500	138.997	80.002	20.010	100.691	20.013	9.475	0.597
159.000	139.295	80.003	20.009	100.685	20.013	9.517	0.601
159.500	139.616	80.002	20.010	100.690	20.013	9.486	0.605
160.000	139.885	80.002	20.010	100.698	20.013	9.555	0.604
160.500	140.181	80.003	20.010	100.711	20.011	9.758	0.578
161.000	140.458	80.004	20.010	100.723	20.008	10.048	0.569
161.500	140.741	80.002	20.010	100.721	20.012	9.590	0.566
162.000	141.014	80.004	20.010	100.707	20.013	9.467	0.558
162.500	141.351	80.003	20.010	100.697	20.012	9.640	0.583
163.000	141.645	80.003	20.010	100.690	20.013	9.520	0.621
163.500	141.908	80.003	20.010	100.690	20.013	9.489	0.594
164.000	142.241	80.003	20.010	100.699	20.014	9.428	0.576
164.500	142.501	80.002	20.010	100.714	20.014	9.434	0.594
165.000	142.717	80.002	20.010	100.723	20.010	9.803	0.535
165.500	143.015	80.002	20.010	100.731	20.013	9.472	0.496
166.000	143.314	80.004	20.010	100.725	20.014	9.394	0.556
166.500	143.629	80.002	20.010	100.716	20.013	9.559	0.605
167.000	143.956	80.002	20.011	100.704	20.012	9.668	0.628
167.500	144.228	80.003	20.010	100.694	20.013	9.499	0.621
168.000	144.472	80.004	20.010	100.688	20.013	9.488	0.558
168.500	144.809	80.002	20.010	100.689	20.013	9.509	0.549
169.000	145.047	80.003	20.010	100.697	20.012	9.622	0.578
169.500	145.350	80.003	20.009	100.701	20.013	9.515	0.557
170.000	145.626	80.003	20.010	100.702	20.013	9.548	0.560
170.500	145.978	80.003	20.010	100.693	20.011	9.697	0.604
171.000	146.238	80.004	20.010	100.682	20.010	9.785	0.620
171.500	146.525	80.003	20.010	100.668	20.010	9.826	0.580
172.000	146.832	80.003	20.010	100.664	20.013	9.545	0.570
172.500	147.066	80.002	20.010	100.665	20.010	9.787	0.567
173.000	147.396	80.003	20.010	100.671	20.010	9.825	0.553
173.500	147.602	80.002	20.009	100.680	20.009	9.928	0.550
174.000	147.927	80.002	20.010	100.687	20.009	9.913	0.533
174.500	148.264	80.003	20.010	100.684	20.009	9.942	0.596
175.000	148.500	80.002	20.010	100.672	20.008	10.019	0.617
175.500	148.768	80.003	20.010	100.658	20.007	10.183	0.539
176.000	149.080	80.002	20.010	100.648	20.009	9.939	0.542
176.500	149.300	80.002	20.010	100.644	20.006	10.211	0.556
177.001	149.593	80.003	20.010	100.654	20.006	10.293	0.523
177.500	149.895	80.003	20.010	100.674	20.007	10.113	0.554
178.000	150.190	80.002	20.009	100.692	20.006	10.197	0.595
178.500	150.489	80.002	20.010	100.702	20.005	10.399	0.595
179.000	150.749	80.003	20.010	100.701	20.005	10.359	0.577
179.500	151.068	80.003	20.010	100.688	20.004	10.424	0.569
180.000	151.357	80.003	20.010	100.671	20.006	10.268	0.593
180.501	151.632	80.002	20.010	100.663	20.003	10.584	0.586
181.000	151.936	80.004	20.010	100.662	20.007	10.147	0.572
181.500	152.190	80.001	20.010	100.666	20.004	10.438	0.568
